Date,Open,High,Low,Close,Volume
2004-11-30,36.3048,38.2984,36.1652,37.1732,121797897.72405
2004-12-31,37.2705,39.2967,36.5083,37.6886,102609289.81513
2005-01-31,38.2276,38.5757,34.6583,36.8487,113447749.4969
2005-02-28,37.0158,38.4675,35.0577,36.8841,100693286.40594
2005-03-31,37.1122,38.6574,36.0147,36.3048,92815151.648443
2005-04-30,36.3756,36.9057,33.0591,33.6846,107637689.86771
2005-05-31,33.8372,39.0852,33.1684,38.976,124664542.05256
2005-06-30,38.9357,40.8182,38.5393,39.4914,98750051.294008
2005-07-31,39.6635,43.5483,39.4825,42.6425,89061622.930984
2005-08-31,42.3859,42.3938,38.2984,39.0134,125183551.89172
2005-09-30,39.1206,40.3637,36.2114,37.6886,117423093.10708
2005-10-31,37.9502,41.5361,36.8487,40.4179,131911921.71984
2005-11-30,40.3884,43.0331,38.6623,38.8354,169085414.52917
2005-12-31,39.1874,40.7434,37.9601,39.8947,107167724.13913
2006-01-31,40.292,40.292,38.1499,39.7392,109114681.58478
2006-02-28,39.63,40.5645,38.8423,39.4825,105419133.22237
2006-03-31,39.6232,39.8445,37.6679,37.7476,121266900.36387
2006-04-30,37.7398,39.3518,36.6756,38.5393,107240881.5702
2006-05-31,38.8275,40.0116,34.9071,35.5072,177173783.35969
2006-06-30,35.7432,36.2556,34.3013,35.4708,136142991.99446
2006-07-31,35.399,36.5733,32.4415,33.3286,142419714.93761
2006-08-31,33.0976,36.5782,32.7424,35.1216,145694465.72593
2006-09-30,35.1658,41.1329,34.6653,40.0992,160840649.72788
2006-10-31,39.7068,43.7973,39.63,42.9524,172298430.09262
2006-11-30,43.0783,43.2936,40.4561,42.1616,136438829.57529
2006-12-31,42.2768,43.5483,41.1447,41.4093,87575911.537898
2007-01-31,41.9866,45.6935,41.0896,44.5329,114864814.79316
2007-02-28,44.4837,46.9898,43.1098,44.6568,94325314.940848
2007-03-31,44.1307,45.726,42.3171,43.0104,149224975.71479
2007-04-30,43.1934,45.18,42.6338,43.0901,125629518.17618
2007-05-31,42.8993,45.4013,41.2253,45.3099,249638823.75336
2007-06-30,45.2952,47.2288,45.1447,46.1597,291844237.63184
2007-07-31,45.9079,51.3497,43.9133,43.9595,358233449.25986
2007-08-31,43.9821,48.2595,40.6894,47.8504,302347347.68407
2007-09-30,47.5828,49.5666,43.3655,46.139,204239446.23414
2007-10-31,46.2904,49.718,43.5483,44.5329,221634916.21541
2007-11-30,44.1227,44.2743,36.472,43.5278,382193328.45417
2007-12-31,43.5483,43.9074,35.456,36.291,307854620.22384
2008-01-31,36.3274,40.8702,34.1194,40.2251,438688948.19469
2008-02-29,40.1749,41.604,36.6756,38.1853,296090439.22858
2008-03-31,38.0535,39.2219,34.6269,36.7848,326112309.17657
2008-04-30,37.0611,39.9911,37.0611,38.562,270665475.51472
2008-05-31,38.4381,40.4424,37.2705,38.7292,257649207.60829
2008-06-30,38.859,39.9644,33.6345,33.7408,325341257.38681
2008-07-31,33.3503,35.7432,30.7154,32.8241,329278636.44675
2008-08-31,33.0385,39.1265,32.1248,38.4823,317532193.72899
2008-09-30,39.9104,43.2199,33.8372,35.6035,448621110.61737
2008-10-31,35.2091,35.4619,22.1018,29.1182,584919590.62195
2008-11-30,29.1033,30.6426,18.5826,24.5025,395705303.23163
2008-12-31,24.1464,29.1625,20.7818,25.0611,381619060.10845
2009-01-31,25.1448,28.1907,22.622,22.6447,303411407.43032
